id,default_12m
107222,0
113381,0
107829,0
104418,0
109940,0
102134,0
112121,0
101375,0
108534,0
109002,0
103047,0
108292,0
105391,0
105719,0
101227,1
110926,0
112627,0
102114,0
114252,0
101921,0
112732,0
101364,0
108565,0
105749,0
113769,0
112774,0
114477,0
100620,0
101469,0
113792,0
114233,0
100339,0
108847,0
105021,0
113398,0
108211,0
111933,0
114107,1
102092,0
109999,1
100387,0
104241,0
114999,0
112586,0
105261,0
100019,1
113644,0
108745,0
107422,0
111277,0
110071,0
101212,0
101658,0
101178,0
108813,0
108016,0
109119,0
108885,1
106685,0
109097,0
102837,0
105957,0
100501,0
107977,0
104121,0
113744,0
111057,0
110328,0
108807,0
100226,0
107122,1
106171,0
100180,0
109523,0
104130,0
101785,0
114203,0
101223,0
112445,0
104984,0
102606,0
104372,0
110323,0
108336,0
111628,0
113077,0
111423,1
106829,0
100027,0
114006,0
102374,0
112609,0
100032,0
107756,0
113223,0
114621,0
100856,0
112778,0
104896,0
112931,0
100772,0
102598,0
111243,0
113783,0
112987,0
113514,0
107388,0
112570,0
112085,0
107801,0
103203,0
107462,0
103463,0
113294,0
100367,0
100473,0
104885,0
103226,0
102537,0
108768,0
104540,0
104409,0
104725,0
100003,0
114790,0
108988,0
100463,0
105441,0
110280,1
108432,0
101821,0
111236,0
111331,0
112979,0
105499,0
112755,0
108537,0
103732,0
111360,0
107976,0
110345,0
106147,0
109649,0
114682,0
103964,0
110520,0
102801,0
110562,0
104955,1
103151,0
105412,0
104049,0
113373,1
108036,0
108420,0
113207,0
111094,0
112899,0
100615,0
112623,0
110776,1
105751,0
104172,0
110952,1
114459,0
100247,0
105275,0
104707,0
114093,0
103046,0
114427,0
114278,0
110418,0
109804,0
102130,0
101675,0
112448,0
100751,0
110105,0
110035,0
108475,0
105964,0
111578,1
102054,0
105195,0
104684,0
109401,0
105229,0
105356,0
112842,0
106751,1
111026,0
105808,0
113997,1
100456,0
113589,0
100290,0
113616,0
109063,0
104339,0
106123,0
114153,0
111668,0
101450,0
113546,0
104641,0
105678,0
110256,0
109559,0
102939,0
108687,0
102283,0
105649,0
110619,0
107785,0
101208,0
109356,0
113288,0
107281,0
103781,0
105012,0
113730,1
100909,0
107874,0
114410,0
114387,0
112222,1
110317,0
113794,0
114134,0
113476,0
109473,0
100910,0
111587,0
107300,0
106779,0
112804,0
107298,0
102400,0
104676,0
113030,1
105219,0
104112,0
103088,0
102145,0
102652,0
101334,0
100763,0
110196,0
103416,0
111419,0
112462,1
110683,0
108540,0
106594,0
113122,0
111743,0
110074,0
105294,0
114213,0
106883,0
110306,0
108722,0
105806,1
102932,1
108483,0
112642,0
105507,0
104414,0
112574,0
110910,0
110739,0
103883,0
104687,0
106083,0
103499,0
107940,0
102160,0
106149,0
107163,0
106927,0
103859,0
104665,0
100753,0
106586,0
101570,0
110621,0
106659,1
109830,0
104490,0
111065,0
110051,0
103059,0
111979,0
108350,0
114481,1
108831,0
104948,0
101302,0
105434,0
113690,0
103112,1
105754,0
114204,0
111775,0
103422,0
105361,0
103758,0
100710,0
103478,0
108703,0
103541,0
112958,0
101027,0
104450,0
109781,1
109496,0
111786,0
108057,0
108163,0
105709,0
109515,0
103583,0
108237,0
102063,0
107671,1
106934,0
113090,0
104522,1
112937,0
112370,0
103992,0
106182,0
106277,1
103861,0
101446,0
114384,0
109001,0
103275,0
103747,0
108566,0
100429,0
113291,0
108655,0
110770,0
111736,0
114601,0
101326,1
114338,0
107708,0
112602,0
110631,1
114296,0
106627,0
113423,0
108344,0
101422,0
104580,0
110452,0
100433,0
107297,0
106743,0
111389,0
106431,0
104954,0
106344,0
102237,0
101848,0
114236,0
109219,0
109455,0
104797,0
108594,0
104965,0
110931,0
105545,0
100461,0
104551,0
114536,0
109082,0
105967,0
103718,0
108252,0
109619,0
113830,0
114637,0
101373,0
109246,0
104094,0
100100,0
112022,0
